"Title,Author,Published At,Source,URL"
"Slitterhead review: body-hopping action horror that's best left dispossessed,Ed Thorn,2024-11-04T11:01:00Z,Rock Paper Shotgun,https://www.rockpapershotgun.com/slitterhead-review"
"Cuckoldry, Clocks, and Horror: The Wild History of Our Obsession With the Cuckoo Bird,Ed Cara,2024-10-23T19:35:16Z,Gizmodo.com,https://gizmodo.com/cuckoldry-clocks-and-horror-the-wild-history-of-our-obsession-with-the-cuckoo-bird-2000510651"
"Bloober Team Made Cronos: The New Dawn Sci-Fi to Not Step on the Toes of Silent Hill 2 Remake,Ryan Dinsdale,2024-10-23T15:48:09Z,IGN,https://www.ign.com/articles/bloober-team-made-cronos-the-new-dawn-sci-fi-to-not-step-on-the-toes-of-silent-hill-2-remake"
"The Maw: what's new in PC games this week?,Edwin Evans-Thirlwell,2024-10-28T09:17:32Z,Rock Paper Shotgun,https://www.rockpapershotgun.com/the-maw-whats-new-in-pc-games-this-week-18"
"Watch the Intense Opening of Smile 2 Online—If You Can Grin the Whole Time,Cheryl Eddy,2024-11-04T21:50:52Z,Gizmodo.com,https://gizmodo.com/smile-2-opening-smile-checker-paramount-2000520360"
"Paddington Bear gets a British passport,,2024-10-22T11:39:57Z,BBC News,https://www.bbc.com/news/articles/cx2l2dvvwqno"
"Is the horror movie Heretic about current American politics? The directors say of course it is,Tasha Robinson,2024-11-07T23:20:13Z,Polygon,https://www.polygon.com/horror/476025/heretic-directors-interview-religion-politics-state-of-america"
"The Absolute Best Horror Movies on Hulu,Meara Isenberg,2024-10-21T22:18:26Z,CNET,https://www.cnet.com/tech/services-and-software/the-absolute-best-horror-films-hulu-october-2024/"
The Substance: Demi Moore's Film Locks A Streaming Date,NDTV Movies News Desk,2024-10-25T10:22:37Z,NDTV News,https://www.ndtv.com/entertainment/demi-moores-horror-thriller-the-substance-gets-a-streaming-date-6871081
"‘The Room Next Door’ & ‘Emelia Perez’ Top 2024 European Film Awards Nominations,Gregory Ellwood,2024-11-05T17:50:08Z,Theplaylist.net,https://theplaylist.net/the-room-next-door-emelia-perez-top-2024-european-film-awards-nominations-20241105/"
"Rejoice, We’re Already Getting Another Entry in the ‘Ke Huy Quan Kicks Ass’ Genre,Germain Lussier,2024-10-29T22:30:23Z,Gizmodo.com,https://gizmodo.com/ke-huy-quan-action-movie-fairytale-in-new-york-2000518221"
"What to stream: Tyler, the Creator, 'The Substance,' Olivia Rodrigo concert film and 'The Diplomat'",The Associated Press,2024-10-28T04:06:34Z,ABC News,https://abcnews.go.com/Technology/wireStory/stream-tyler-creator-substance-olivia-rodrigo-concert-film-115207011
"The 25 best new horror movies of 2024 (so far),Caralynn Matassa,2024-11-01T15:32:56Z,Business Insider,https://www.businessinsider.com/best-new-horror-movies-2024"
"Kevin Feige Says Marvel Is Still Committed to Getting Blade Into the MCU,Gordon Jackson,2024-11-12T14:00:03Z,Gizmodo.com,https://gizmodo.com/kevin-feige-blade-marvel-mcu-update-mahershala-ali-2000523295"
Netflix Announces ‘Fear Street 1988: Prom Queen’ for 2025 Release [Poster],Meagan Navarro,2024-10-28T18:22:23Z,Bloody Disgusting,https://bloody-disgusting.com/movie/3837401/netflix-announces-fear-street-1988-prom-queen-for-2025-release/
"Harvey Weinstein Diagnosed with Bone Marrow Cancer, Receiving Treatment Behind Bars: Reports,Escher Walcott,2024-10-22T12:21:13Z,PEOPLE,https://people.com/harvey-weinstein-diagnosed-bone-marrow-cancer-receiving-treatment-prison-8731892"
"When horror hits China, the first instinct is shut it down,,2024-11-12T19:11:22Z,BBC News,https://www.bbc.com/news/articles/cje0z2xppdlo"
"The real life substances: From vampire facials to snake venom serums, six anti-ageing treatments that give the body horror movie a run for its money",Sarah Caden,2024-10-23T01:30:00Z,Independent.ie,https://www.independent.ie/style/beauty/the-real-life-substances-from-vampire-facials-to-snake-venom-serums-six-anti-ageing-treatments-that-give-the-body-horror-movie-a-run-for-its-money/a110871543.html
"Watch Ke Huy Quan as a Unassuming Killer in His First Post-Oscar Film,Germain Lussier,2024-10-22T17:45:58Z,Gizmodo.com,https://gizmodo.com/watch-ke-huy-quan-as-a-unassuming-killer-in-his-first-post-oscar-film-2000515036"
"MOVIES: The Crime is Mine - Review: Whimsically French,Milo MJ,2024-10-28T09:07:00Z,Spoilertv.com,https://www.spoilertv.com/2024/10/movies-crime-is-mine-review-whimsically.html"
"The Best New Movies and TV Streaming in November 2024, and Where to Watch Them,Germain Lussier,2024-11-01T20:30:49Z,Gizmodo.com,https://gizmodo.com/best-new-movies-tv-streaming-november-2024-2000517602"
"‘The Substance’ Director Pulls Film From Camerimage Over Festival Director’s ‘Misogynistic’ Comments,Adam Chitwood,2024-11-15T20:44:37Z,TheWrap,https://www.thewrap.com/the-substance-coralie-fargeat-pulled-from-camerimage-festival/"
"Paramount’s Still Figuring Out How to Handle Mission: Impossible 8,Justin Carter,2024-11-02T14:30:42Z,Gizmodo.com,https://gizmodo.com/mission-possiible-8-paramount-rollout-2000519792"
[Removed],,2024-10-29T15:32:20Z,[Removed],https://removed.com
"New Movies On Streaming: ‘The Substance,’ Joker: Folie á Deux,’ + More",mliss1578,2024-11-01T15:00:00Z,Decider,https://decider.com/2024/11/01/new-movies-on-streaming-the-substance-joker-folie-a-deux-more/
The State Of The Race – Pete Hammond’s Latest Predictions: “It’s Anybody’s Ballgame”,Pete Hammond,2024-11-14T22:53:46Z,Deadline,http://deadline.com/2024/11/pete-hammond-awards-predictions-oscars-bets-picture-actor-actress-news-1236173216/
The Substance: Demi Moore body horror film reaches MUBI streaming service on Halloween,Cody Hamman,2024-10-24T14:02:26Z,JoBlo.com,https://www.joblo.com/the-substance-mubi-2/
"The Best Horror Movies on Prime Video to Watch Around Halloween,Meara Isenberg,2024-10-26T22:37:30Z,CNET,https://www.cnet.com/tech/services-and-software/the-best-horror-films-on-prime-video-october-2024/"
"Netflix’s New Plan Is to Make Movies That Suck Less,Lucas Ropek,2024-10-21T20:35:25Z,Gizmodo.com,https://gizmodo.com/netflixs-new-plan-is-to-make-movies-that-suck-less-2000514553"
"How to Shoot Actors with Arrows Sans CGI,Navarre Bartz,2024-11-04T09:00:41Z,Hackaday,https://hackaday.com/2024/11/04/how-to-shoot-actors-with-arrows-sans-cgi/"
Halloween Week: These 10 Horror Movies Are Releasing in the Final Week of October!,John Squires,2024-10-28T18:56:47Z,Bloody Disgusting,https://bloody-disgusting.com/movie/3837396/halloween-week-these-10-horror-movies-are-releasing-in-the-final-week-of-october/
C&L's Best Horror Movies Of 2024 For Halloween,John Amato,2024-10-31T03:00:01Z,Crooksandliars.com,https://crooksandliars.com/2024/10/cls-best-horror-2024-halloween
"Metal Gear Solid 5’s terrifying first mission is a glimpse into the Kojima Silent Hill game we never got,Toussaint Egan,2024-10-25T21:05:17Z,Polygon,https://www.polygon.com/what-to-play/467950/metal-gear-solid-5-the-phantom-pain-silent-hills-hideo-kojima"
"Chief thought Skripal poisoning could be 'act of war',,2024-10-28T00:03:40Z,BBC News,https://www.bbc.com/news/articles/c170g21jwqgo"
"The Latest Look at Disney’s Live-Action Stitch Will Fill You With Cute Aggression,Cheryl Eddy,2024-11-08T22:20:17Z,Gizmodo.com,https://gizmodo.com/the-latest-look-at-disneys-live-action-stitch-will-fill-you-with-cute-aggression-2000522234"
"10 Best Horror Movies to Watch on Netflix Right Now for Halloween,Abrar Al-Heeti,2024-10-30T12:00:19Z,CNET,https://www.cnet.com/tech/services-and-software/10-best-horror-movies-to-watch-on-netflix-right-now-halloween/"
"Roar in Delight With These New Godzilla Toys,Justin Carter,2024-11-03T17:00:07Z,Gizmodo.com,https://gizmodo.com/roar-in-delight-with-these-new-godzilla-toys-2000518706"
"Rare Discount on LEGO Walt Disney Tribute Camera Returns at Lowest Price for Early Black Friday,Brittany Vincent,2024-10-24T14:14:54Z,Gizmodo.com,https://gizmodo.com/rare-discount-on-lego-walt-disney-tribute-camera-returns-at-lowest-price-for-early-black-friday-2000515965"
The movies are back — and so are disgusted audiences storming out of them,Sean Mandell,2024-10-24T12:46:08Z,New York Post,https://nypost.com/2024/10/24/entertainment/movies-are-back-and-disgusted-audiences-storming-out-too/
"Heretic’s directors unpack its ambiguous ending,Tasha Robinson,2024-11-08T22:53:54Z,Polygon,https://www.polygon.com/horror/476433/heretic-ending-explained-by-directors"
Demi Moore’s ‘The Substance’ Makeup Photos Show Scary Side Of Character,"Tim Lammers, Contributor, 
 Tim Lammers, Contributor
 https://www.forbes.com/sites/timlammers/",2024-11-01T23:54:07Z,Forbes,https://www.forbes.com/sites/timlammers/2024/11/01/demi-moores-the-substance-makeup-photos-show-scary-side-of-character/
"Tax Incentives Aren’t The Only Reason Why ‘The Substance,’ ‘Emilia Pérez’ and ‘The Count of Monte Cristo’ Shot in France",Elskes,2024-11-04T11:32:34Z,Variety,https://variety.com/2024/film/global/the-substance-emilia-perez-the-count-of-monte-cristo-france-tax-incentives-1236199147/
Here Are the Top 10 Halloween Streamers for 2024,"Ethan Alter, Saleah Blancaflor",2024-10-24T10:00:00Z,Adweek,https://www.adweek.com/convergent-tv/top-10-halloween-streamers/
"After The Substance's Release, Demi Moore Got Real About Aging And How The Film 'Pushed' Her Out Of Her Comfort Zone",Ryan LaBee,2024-11-10T22:18:25Z,CinemaBlend,https://www.cinemablend.com/movies/after-the-substance-release-demi-moore-real-about-aging-film-pushed-her-out-of-comfort-zone
"12 best TV shows to stream this Halloween,Anthony Orlando,2024-10-30T17:30:15Z,Digital Trends,https://www.digitaltrends.com/movies/best-tv-shows-to-stream-this-halloween-2024/"
Film Promo Fashion Roundup,zodgory,2024-11-09T17:50:17Z,Livejournal.com,https://ohnotheydidnt.livejournal.com/129521507.html
Drag Race UK star claps back at critics of her Substance Halloween costume: ‘What happened to fun?’,Charlie Duncan,2024-10-29T14:55:32Z,Thepinknews.com,https://www.thepinknews.com/2024/10/29/gay-halloween-sminty-drop-the-substance-monstro-elisasue/
"[Removed],,2024-11-08T13:18:03Z,[Removed],https://removed.com"
"24 Best Movies New to Streaming in November: ‘Deadpool & Wolverine,’ ‘Twisters,’ ‘The Substance,’ ‘Emilia Perez’ and More",Zack Sharf,2024-11-01T21:20:00Z,Variety,https://variety.com/lists/best-movies-streaming-november-2024/
"Is ‘The Substance’ On Streaming Yet?,Josh Kurp,2024-10-24T15:51:34Z,UPROXX,https://uproxx.com/movies/the-substance-streaming-date/"
"In an Early Black Friday Deal, Amazon is Offering $1,200 Off on This Stunning LG 65″ C4 TV,Gizmodo Deals,2024-11-03T15:17:32Z,Gizmodo.com,https://gizmodo.com/in-an-early-black-friday-deal-amazon-is-offering-1200-off-on-this-stunning-lg-65-c4-tv-2000519988"
"Here are some of the best horror board games you can buy right now,Saira Mueller,2024-10-30T16:58:26Z,Polygon,https://www.polygon.com/gift-guide/471994/best-horror-board-games-2024"
When Does 'Landman' Start? Release Date for New Paramount+ Demi Moore Show,Lottie McGrath,2024-11-12T13:54:42Z,Newsweek,https://www.newsweek.com/landman-paramount-demi-moore-release-date-1984348
"Bloody Demi Moore looks disgusting in newly revealed ‘The Substance’ photos,Eric Todisco,2024-10-31T19:42:52Z,New York Post,https://nypost.com/2024/10/31/entertainment/bloody-demi-moore-looks-disgusting-in-new-substance-photos/"
"Tax Incentives Aren’t The Only Reason Why ‘The Substance,’ ‘Emilia Pérez’ and ‘The Count of Monte Cristo’ Shot in France,Elskes,2024-11-04T11:32:34Z,Variety,https://variety.com/2024/film/global/the-substance-emilia-perez-the-count-of-monte-cristo-france-tax-incentives-1236199147/"
"What’s Popular On Streaming Now,Kimberly Ricci,2024-11-03T13:00:30Z,UPROXX,https://uproxx.com/tv/popular-on-streaming-the-substance-lioness-diplomat/"
"Watch Hugh Grant Do The Worst Jar Jar Binks Impression I've Ever Heard,Zack Zwiezen,2024-11-13T22:25:00Z,Kotaku,https://kotaku.com/star-wars-jar-jar-hugh-grant-heretic-impression-clip-1851698047"
"[Removed],,2024-11-10T16:28:12Z,[Removed],https://removed.com"
"[Removed],,2024-11-11T18:24:00Z,[Removed],https://removed.com"
"Jesse Eisenberg, Kieran Culkin Drive ‘A Real Pain’ To Top 3 Limited Opening As Audiences Dig Diverse Indie Slate – Specialty Box Office",jillg366,2024-11-03T19:19:51Z,Deadline,http://deadline.com/2024/11/indie-film-box-office-a-real-pain-anora-conclave-1236165664/
"Fear the Spotlight review: Blumhouse’s lo-fi horror game is imperfect, but sincere,Giovanni Colantonio,2024-10-21T14:00:59Z,Digital Trends,https://www.digitaltrends.com/gaming/fear-the-spotlight-review-nintendo-switch/"
Amy Adams turns into a dog in 'bizarre and brilliant' film,,2024-10-16T17:50:21Z,BBC News,https://www.bbc.com/news/articles/c30l6510g73o
"Take Aim With This Glorious Ultraman Trading Card Art,James Whitbrook,2024-10-20T18:00:02Z,Gizmodo.com,https://gizmodo.com/nycc-2024-ultraman-trading-card-game-wave-2-exclusive-reveal-2000514210"
‘He took the substance’: Why Demi Moore’s Comeback Horror Flick Feels Uniquely Primed for the Internet,"BenWeiss, BenWeiss",2024-10-25T18:00:00Z,Cheezburger.com,https://cheezburger.com/30227207/he-took-the-substance-why-demi-moores-comeback-horror-flick-feels-uniquely-primed-for-the-internet
"A Sinister Nick Frost Elevates Murky Horror Tale Black Cab,Cheryl Eddy,2024-11-08T18:40:00Z,Gizmodo.com,https://gizmodo.com/a-sinister-nick-frost-elevates-murky-horror-tale-black-cab-2000521404"
"‘He took the substance’: Why Demi Moore’s Comeback Horror Flick Feels Uniquely Primed for the Internet,""BenWeiss, BenWeiss"",2024-10-25T18:00:00Z,Cheezburger.com,https://cheezburger.com/30227207/he-took-the-substance-why-demi-moores-comeback-horror-flick-feels-uniquely-primed-for-the-internet"
Is 2024 the Best Year of Horror Movies Yet?,Patrick Cavanaugh,2024-10-23T19:03:45Z,ComicBook.com,http://comicbook.com/movies/news/best-horror-movies-2024-substance-quiet-place-day-one-terrifier/
Here Comes the Sun: Demi Moore and more,CBS News,2024-11-03T08:31:01Z,CBS News,https://www.cbsnews.com/video/here-comes-the-sun-demi-moore-and-more/
"In Dear Santa‘s First Trailer, Satan Is the Reason for the Season,Gordon Jackson,2024-11-07T15:30:30Z,Gizmodo.com,https://gizmodo.com/dear-santa-trailer-jack-black-satan-christmas-movie-2000521565"
"Disney Replaces Blade on Release Schedule with New Predator Movie,Germain Lussier,2024-10-22T16:53:20Z,Gizmodo.com,https://gizmodo.com/blade-release-date-cancel-prey-2-predator-2000515095"
"Jesse Eisenberg and Kieran Culkin Make a Radiantly Generous Duo in A Real Pain,Time,2024-11-01T17:56:25Z,Time,https://time.com/7171395/a-real-pain-review/"
What’s Popular On Streaming Now,Kimberly Ricci,2024-11-03T13:00:30Z,UPROXX,https://uproxx.com/tv/popular-on-streaming-the-substance-lioness-diplomat/
"Doc of Chucky Digs Into (Nearly) Every Detail About the Child’s Play Series,Cheryl Eddy,2024-11-01T00:15:28Z,Gizmodo.com,https://gizmodo.com/doc-of-chucky-digs-into-nearly-every-detail-about-the-childs-play-series-2000518939"
"THE SUBSTANCE NSFW Behind-The-Scenes Photo Features Margaret Qually as ""Monstro Eli-Sue""",MarkCassidy,2024-10-22T23:19:31Z,CBM (Comic Book Movie),https://comicbookmovie.com/horror/the-substance-nsfw-behind-the-scenes-photo-features-margaret-qually-as-monstro-eli-sue-a214104
"A New Take on The Fly Is Coming From a Very Intriguing Director,Cheryl Eddy,2024-11-04T19:10:18Z,Gizmodo.com,https://gizmodo.com/a-new-take-on-the-fly-is-coming-from-a-very-intriguing-director-2000520281"
Kylie Jenner Goes Totally Nude for Striptease Halloween Costume,,2024-11-01T03:49:30Z,Eonline.com,https://www.eonline.com/news/1409400/kylie-jenner-goes-totally-nude-for-halloween-dressed-as-stripteases-demi-moore
Demi Moore Talks Timeliness of ‘The Substance’: ‘There’s a Lot of Fear in America Around the Body’,Harrison Richlin,2024-11-09T20:30:00Z,IndieWire,https://www.indiewire.com/news/general-news/demi-moore-talks-timeliness-the-substance-1235064084/
"Critics say Gladiator II is 'gobsmacking' and 'loopy',,2024-11-11T16:32:18Z,BBC News,https://www.bbc.com/news/articles/c20g5xw0y6wo"
The best smeared make-up moments in arthouse cinema,Violet Piper,2024-11-06T11:46:00Z,Dazed,https://www.dazeddigital.com/beauty/article/65022/1/the-best-smeared-make-up-moments-in-arthouse-cinema?utm_source=Link&utm_medium=Link&utm_campaign=RSSFeed&utm_term=the-best-smeared-make-up-moments-in-arthouse-cinema
"Demi Moore Slams U.S. Election: America 'Built On Puritans, Religious Fanatics And Criminals'",Marco Margaritoff,2024-11-08T19:53:33Z,HuffPost,https://www.huffpost.com/entry/demi-moore-american-election-puritans-religious-fanatics-criminals_n_672e2785e4b03941587e9f62
"Marvel Reveals Deadpool & Wolverine‘s Disney+ Release Date via Literal Toilet Humor,Isaiah Colbert,2024-10-30T14:00:36Z,Gizmodo.com,https://gizmodo.com/deadpool-and-wolverine-streaming-disney-plus-release-date-marvel-2000518301"
"Guillermo Del Toro Praises Demi Moore’s Body Horror Hit ‘The Substance’,""Tim Lammers, Contributor, "
