Title	Author	Published At	Source	URL
Where to stream The Substance in Canada	Bradly Shankar	2024-10-26T18:31:37Z	MobileSyrup	https://mobilesyrup.com/2024/10/26/where-to-stream-the-substance-canada/
‘The Substance’ Set To Soar Past $70M+: How MUBI Fueled Demi Moore’s Comeback At The Global Box Office	anthonypauldalessandro	2024-11-17T22:25:26Z	Deadline	http://deadline.com/2024/11/the-substance-box-office-demi-moore-1236178368/
Looks Like European Film Voters Love ‘No Other Land’ but Are Mixed on ‘Hard Truths’	Marcus Jones	2024-11-05T19:15:00Z	IndieWire	https://www.indiewire.com/awards/industry/european-film-awards-bifa-nominations-reveal-oscar-favorites-1235063138/
The 25 best new horror movies of 2024 (so far)	Caralynn Matassa	2024-11-01T15:32:56Z	Business Insider	https://www.businessinsider.com/best-new-horror-movies-2024
Fall's Buzziest New Thriller 'The Substance' Is Already Available To Stream	Chloe Williams​	2024-10-31T15:18:38Z	Brit + Co	https://www.brit.co/the-substance-movie/
‘The Substance’ Director Pulls Film From Camerimage Over Festival Director’s ‘Misogynistic’ Comments	Adam Chitwood	2024-11-15T20:44:37Z	TheWrap	https://www.thewrap.com/the-substance-coralie-fargeat-pulled-from-camerimage-festival/
Demi Moore Goes Pretty in Florals for 'The Substance' Premiere in Paris	Just Jared	2024-11-06T02:17:41Z	Just Jared	https://www.justjared.com/2024/11/05/demi-moore-goes-pretty-in-florals-for-the-substance-premiere-in-paris/
‘Your Monster’ Review: Melissa Barrera Finds Musical Ways To Scream Her Rage With Help From A Beastly Tommy Dewey	Pete Hammond	2024-10-25T19:37:36Z	Deadline	http://deadline.com/2024/10/your-monster-review-melissa-barrera-finds-musical-ways-to-scream-with-help-from-beastly-tommy-dewey-1236158700/
‘It’s The Devil’: The Substance Director Discusses The Long Casting Process For That Creepy, Deep Voice In The Body Horror Movie	Eric Eisenberg	2024-10-31T13:32:53Z	CinemaBlend	https://www.cinemablend.com/interviews/its-the-devil-the-substance-director-discusses-long-casting-process-creepy-deep-voice-body-horror-movie
After The Substance's Release, Demi Moore Got Real About Aging And How The Film 'Pushed' Her Out Of Her Comfort Zone	Ryan LaBee	2024-11-10T22:18:25Z	CinemaBlend	https://www.cinemablend.com/movies/after-the-substance-release-demi-moore-real-about-aging-film-pushed-her-out-of-comfort-zone
C&L's Best Horror Movies Of 2024 For Halloween	John Amato	2024-10-31T03:00:01Z	Crooksandliars.com	https://crooksandliars.com/2024/10/cls-best-horror-2024-halloween
‘The Substance’ Is Now Available to Watch at Home!	John Squires	2024-10-31T18:26:54Z	Bloody Disgusting	https://bloody-disgusting.com/movie/3837992/the-substance-is-now-available-to-watch-at-home/
Jennifer Lopez, Angelina Jolie, Nicole Kidman & 75+ Celebs Attend the Governors Awards 2024	Just Jared	2024-11-18T04:33:21Z	Just Jared	https://www.justjared.com/2024/11/17/jennifer-lopez-angelina-jolie-nicole-kidman-75-celebs-attend-the-governors-awards-2024/
‘It Was Already Determined That You Should Look Like S–t’: Demi Moore Recalls Public’s Reaction To Her Wearing A Bikini At 40 In A Charlie’s Angels Movie	Sarah El-Mahmoud	2024-11-16T19:02:40Z	CinemaBlend	https://www.cinemablend.com/movies/demi-moore-recalls-public-reaction-her-wearing-bikini-at-40-charlies-angels
The Substance: Demi Moore body horror film reaches MUBI streaming service on Halloween	Cody Hamman	2024-10-24T14:02:26Z	JoBlo.com	https://www.joblo.com/the-substance-mubi-2/
Streaming in Canada on Crave, Disney+, Mubi, Netflix and Prime Video [Oct. 28-Nov. 3]	Bradly Shankar	2024-10-28T23:02:28Z	MobileSyrup	https://mobilesyrup.com/2024/10/28/streaming-in-canada-crave-disney-plus-mubi-netflix-prime-video-the-substance/
‘Substance’ portrays in fiction whatexists in real world: French filmmaker Coralie Fargeat	The Hills Times	2024-10-31T02:45:00Z	Thehillstimes.in	https://thehillstimes.in/entertainment/substance-portrays-in-fiction-whatexists-in-real-world-french-filmmaker-coralie-fargeat
10 Great Horror Films from 2024 (and Where to Watch Them)	Brian Tallerico	2024-10-30T13:43:49Z	Rogerebert.com	https://www.rogerebert.com/streaming/10-great-horror-films-from-2024-and-where-to-watch-them
‘The Room Next Door’ & ‘Emelia Perez’ Top 2024 European Film Awards Nominations	Gregory Ellwood	2024-11-05T17:50:08Z	Theplaylist.net	https://theplaylist.net/the-room-next-door-emelia-perez-top-2024-european-film-awards-nominations-20241105/
[Removed]		2024-10-29T15:32:20Z	[Removed]	https://removed.com
Demi Moore Is Wildly Unrecognizable in Disturbing 'The Substance' Halloween Photos	Kayla Caldwell	2024-10-31T21:13:35Z	Newsweek	https://www.newsweek.com/entertainment/celebrity-news/demi-moore-unrecognizable-disturbing-substance-halloween-photos-1978255
24 Best Movies New to Streaming in November: ‘Deadpool & Wolverine,’ ‘Twisters,’ ‘The Substance,’ ‘Emilia Perez’ and More	Zack Sharf	2024-11-01T21:20:00Z	Variety	https://variety.com/lists/best-movies-streaming-november-2024/
Post-Screening Movie Hype Tweets, Decoded	Nate Jones	2024-10-26T13:00:29Z	Vulture	http://www.vulture.com/article/gladiator-2-early-reviews-decoded.html
The Substance Might Not Be For Everyone, But I Want To Talk About The Visceral Self Love Message That's Still Giving Me Chills	Sarah El-Mahmoud	2024-10-26T15:04:00Z	CinemaBlend	https://www.cinemablend.com/movies/the-substance-might-not-be-for-everyone-but-i-want-to-talk-about-visceral-self-love-message-still-giving-me-chills
The Substance, Joker: Folie à Deux, Netflix’s Time Cut, and every movie new to streaming this week	Toussaint Egan, Petrana Radulovic	2024-11-01T11:50:46Z	Polygon	https://www.polygon.com/entertainment/469923/new-movies-watch-streaming-the-substance-joker-2-netflix-time-cut
‘The Substance’ Comes to Digital, But When Will ‘The Substance’ Be Streaming?	mliss1578	2024-10-28T20:00:00Z	Decider	https://decider.com/2024/10/28/watch-the-substance-streaming-release-date-the-substance-mubi/
Stream It Or Skip It: ‘The Substance’ on Mubi and VOD, a New Body-Horror Classic Anchored by a Daring Demi Moore	mliss1578	2024-10-31T19:00:00Z	Decider	https://decider.com/2024/10/31/the-substance-mubi-streaming-movie-review/
The Substance: Demi Moore's Film Locks A Streaming Date	NDTV Movies News Desk	2024-10-25T10:22:37Z	NDTV News	https://www.ndtv.com/entertainment/demi-moores-horror-thriller-the-substance-gets-a-streaming-date-6871081
Best Horror Movies to See in Theaters This Halloween	Kofi Outlaw	2024-10-30T19:49:32Z	ComicBook.com	http://comicbook.com/horror/news/best-horror-movies-halloween-2024-watch-in-theaters/
MOVIES: The Crime is Mine - Review: Whimsically French	Milo MJ	2024-10-28T09:07:00Z	Spoilertv.com	https://www.spoilertv.com/2024/10/movies-crime-is-mine-review-whimsically.html
‘The Substance’ Ending Explained: What That Disgusting, Bloody Finale Means	mliss1578	2024-10-31T20:30:00Z	Decider	https://decider.com/2024/10/31/the-substance-ending-explained-meaning-demi-moore-margaret-qualley-feminist-analysis/
The best last-minute Halloween costume is also the hippest, thanks to The Substance	Matt Patches	2024-10-28T20:58:05Z	Polygon	https://www.polygon.com/horror/471280/best-last-minute-halloween-costume-2024-the-substance-mask
Bloody Demi Moore looks disgusting in newly revealed ‘The Substance’ photos	Eric Todisco	2024-10-31T19:42:52Z	New York Post	https://nypost.com/2024/10/31/entertainment/bloody-demi-moore-looks-disgusting-in-new-substance-photos/
New Movies On Streaming: ‘The Substance,’ Joker: Folie á Deux,’ + More	mliss1578	2024-11-01T15:00:00Z	Decider	https://decider.com/2024/11/01/new-movies-on-streaming-the-substance-joker-folie-a-deux-more/
The Substance streaming: Release date revealed, when and where to watch online	The Feed	2024-10-24T18:39:30Z	The Times of India	https://economictimes.indiatimes.com/news/international/us/the-substance-streaming-release-date-revealed-when-and-where-to-watch-online/articleshow/114558556.cms
Review: The Substance Is A Powerful Parable That Pulls No Punches	Saibal Chatterjee	2024-10-31T03:06:24Z	NDTV News	https://www.ndtv.com/entertainment/the-substance-review-a-powerful-parable-that-pulls-no-punches-4-stars-6912499
Demi Moore Opts for Timeless White and Black Capped-Toe Heels at ‘The Substance’ Premiere in Paris	Amina Ayoud	2024-11-06T20:34:05Z	Footwear News	http://footwearnews.com/fashion/celebrity-style/demi-moore-white-black-capped-toe-heels-the-substance-1234728404/
Is ‘The Substance’ On Streaming Yet?	Josh Kurp	2024-10-24T15:51:34Z	UPROXX	https://uproxx.com/movies/the-substance-streaming-date/
Demi Moore Blooms in Textured Floral Chanel Dress at ‘The Substance’ Premiere in Paris	Hannah Malach	2024-11-06T15:00:25Z	WWD	http://wwd.com/pop-culture/celebrity-news/demi-moore-floral-chanel-dress-the-substance-premiere-paris-1236712658/
[Removed]		2024-11-11T00:34:00Z	[Removed]	https://removed.com
‘The Substance’ Director Pulls Film From Festival Over CEO’s ‘Misogynistic’ Comments	Ethan Millman	2024-11-16T00:48:28Z	Rolling Stone	http://www.rollingstone.com/tv-movies/tv-movie-news/the-substance-director-pulls-film-camerimage-festival-1235168881/
Demi Moore Slams Election: U.S. ‘Built’ on ‘Religious Fanatics and Criminals’	Charisma Madarang	2024-11-06T04:16:22Z	Rolling Stone	http://www.rollingstone.com/tv-movies/tv-movie-news/demi-moore-election-religious-fanatics-criminals-1235154631/
Cinema day celebration 2024: Discounted movies today with €2 tickets	Electra Delavogia	2024-10-31T14:06:38Z	Protothema.gr	https://en.protothema.gr/2024/10/31/cinema-day-celebration-2024-discounted-movies-today-with-e2-tickets/
What’s Popular On Streaming Now	Kimberly Ricci	2024-11-03T13:00:30Z	UPROXX	https://uproxx.com/tv/popular-on-streaming-the-substance-lioness-diplomat/
What’s Popular On Streaming Now	Kimberly Ricci	2024-11-10T14:00:16Z	UPROXX	https://uproxx.com/tv/popular-on-streaming-lioness-dont-move-diplomat/
[Removed]		2024-11-08T13:18:03Z	[Removed]	https://removed.com
[Removed]		2024-11-10T16:28:12Z	[Removed]	https://removed.com
[Removed]		2024-11-11T18:24:00Z	[Removed]	https://removed.com
Top Halloween films of 2024	Tatat Bunnag	2024-10-29T21:00:00Z	Bangkok Post	https://www.bangkokpost.com/life/arts-and-entertainment/2892753/top-halloween-films-of-2024
‘The Substance’ Director Coralie Fargeat Pulls Film From Camerimage Following Festival Head’s Comments About Women	Katcy Stephan	2024-11-15T20:29:00Z	Variety	https://variety.com/2024/film/news/the-substance-coralie-fargeat-camerimage-festival-1236211732/
Demi Moore says close-up shot of her behind ‘bugs the s--- out of me’ in new movie	Caroline Thayer	2024-11-14T19:48:06Z	Fox News	https://www.foxnews.com/entertainment/demi-moore-says-close-up-shot-butt-bugs-s-t-out-new-movie
Demi Moore on the U.S. Election: ‘America Is Built on Puritans, Religious Fanatics and Criminals’	Becroll	2024-11-06T02:33:22Z	Variety	https://variety.com/2024/film/global/demi-moore-the-substance-coralie-fargeat-2024-election-1236201891/
IndieWire 2024 Holiday Gift Guide: From Cookbooks to Card Games, All Film and TV Lovers Can Find Something to Cherish	Harrison Richlin	2024-11-14T15:00:37Z	IndieWire	https://www.indiewire.com/gallery/2024-holiday-gift-guide-film-tv-lovers/
Demi Moore to Be Honored at French Cinematheque Ahead of Coralie Fargeat’s Buzzy ‘The Substance’s’ Local Premiere (EXCLUSIVE)	Elskes	2024-11-01T22:51:28Z	Variety	https://variety.com/2024/film/global/demi-moore-the-substance-mubi-french-cinematheque-1236198124/
European Film Awards Nominations: ‘Emilia Pérez,’ ‘The Substance,’ ‘The Room Next Door’ and More Up for Best Film	Ellise Shafer	2024-11-05T10:29:21Z	Variety	https://variety.com/2024/awards/global/european-film-awards-nominations-emilia-perez-the-substance-room-next-door-1236200859/
Tax Incentives Aren’t The Only Reason Why ‘The Substance,’ ‘Emilia Pérez’ and ‘The Count of Monte Cristo’ Shot in France	Elskes	2024-11-04T11:32:34Z	Variety	https://variety.com/2024/film/global/the-substance-emilia-perez-the-count-of-monte-cristo-france-tax-incentives-1236199147/
Demi Moore Slams U.S. Election: America 'Built On Puritans, Religious Fanatics And Criminals'	Marco Margaritoff	2024-11-08T19:53:33Z	HuffPost	https://www.huffpost.com/entry/demi-moore-american-election-puritans-religious-fanatics-criminals_n_672e2785e4b03941587e9f62
Rashida Jones Tearfully Honors Quincy Jones, Hugh Grant Roasts Richard Curtis and More From the 2024 Governors Awards	Clayton Davis	2024-11-18T16:53:36Z	Variety	https://variety.com/2024/film/awards/governors-awards-2024-rashida-quincy-jones-1236212553/
New Boutique Distributors Step Up to Meet the Needs of the Independent Film Market	Carolehorst	2024-11-07T17:17:00Z	Variety	https://variety.com/2024/film/news/distributors-independent-film-market-1236200344/
Golden Globes 2025: First Predictions With Movie Musicals, A-List Stars and Hit TV Shows Vying for Recognition	Clayton Davis	2024-11-01T23:50:00Z	Variety	https://variety.com/lists/2025-golden-globes-awards-predictions/
Nikon’s entry-level Z50II adds a dedicated button for color styles	Andrew Liszewski	2024-11-07T15:03:51Z	The Verge	https://www.theverge.com/2024/11/7/24289897/nikon-z50ii-digital-camera-crop-sensor-mirrorless-aps-c
Tom Holland Joins Christopher Nolan’s Next Movie, and We Heard a Great Rumor About It	Germain Lussier	2024-10-21T21:35:52Z	Gizmodo.com	https://gizmodo.com/christopher-nolan-new-movie-plot-tom-holland-imax-2000514765
Don’t Hold Your Breath for John Wick 5	Isaiah Colbert	2024-10-22T23:45:37Z	Gizmodo.com	https://gizmodo.com/dont-hold-your-breath-for-john-wick-5-2000515334
Watch Ke Huy Quan as a Unassuming Killer in His First Post-Oscar Film	Germain Lussier	2024-10-22T17:45:58Z	Gizmodo.com	https://gizmodo.com/watch-ke-huy-quan-as-a-unassuming-killer-in-his-first-post-oscar-film-2000515036
The Purge: Election Year Is Still an Uncomfortably Timely Watch	Cheryl Eddy	2024-11-05T18:10:15Z	Gizmodo.com	https://gizmodo.com/purge-election-year-retrospective-trump-harris-2024-2000520737
Apple secretly included quantum dot tech in the M4 MacBook Pro's display	Kris Holt	2024-11-15T17:34:24Z	Yahoo Entertainment	https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_72825322-6e56-4f1d-b58d-d363d6837f0d
Milla Jovovich Will Star in the Final George A. Romero Zombie Film, Twilight of the Dead	Germain Lussier	2024-11-01T22:00:39Z	Gizmodo.com	https://gizmodo.com/milla-jovovich-george-a-romero-twilight-of-the-dead-2000519768
Paddington Bear gets a British passport		2024-10-22T11:39:57Z	BBC News	https://www.bbc.com/news/articles/cx2l2dvvwqno
'Pack of cigs and a Bic lighter': Are celebs glamourising smoking again?		2024-11-03T00:32:55Z	BBC News	https://www.bbc.com/news/articles/ce8dy5v1kpno
Critics say Gladiator II is 'gobsmacking' and 'loopy'		2024-11-11T16:32:18Z	BBC News	https://www.bbc.com/news/articles/c20g5xw0y6wo
'I never thought I would make it to this stage'		2024-10-23T05:08:59Z	BBC News	https://www.bbc.com/news/articles/c4gq01939y3o
Tourists flock to street used as a film set - and Airbnb row is 'final straw'		2024-10-28T00:03:48Z	BBC News	https://www.bbc.com/news/articles/c4glgp7lynwo
Amazon says it ditched plastic air pillows	Justine Calma	2024-10-21T20:01:28Z	The Verge	https://www.theverge.com/2024/10/21/24276049/amazon-plastic-air-pillows-packaging
Mission: Impossible —The Final Reckoning‘s Trailer Really Wants You To Know Tom Cruise Is Still That Dude	Isaiah Colbert	2024-11-11T15:00:25Z	Gizmodo.com	https://gizmodo.com/mission-impossible-8-trailer-title-release-date-tom-cruise-final-reckoning-2000522966
A Guide to Every Upcoming Star Wars Project, Alive or Dead	James Whitbrook	2024-11-08T21:39:57Z	Gizmodo.com	https://gizmodo.com/every-star-wars-film-tv-show-announced-canceled-lucasfilm-disney-2000522180
Lomography’s new instant camera uses a glass lens for sharper photos	Andrew Liszewski	2024-10-23T16:26:18Z	The Verge	https://www.theverge.com/2024/10/23/24277617/lomography-lomo-instant-wide-glass-camera-photography-fujifilm-instax-wide
We Heard a Juicy Rumor About That Secret Predator Movie	Germain Lussier	2024-10-25T17:05:32Z	Gizmodo.com	https://gizmodo.com/secret-predator-movie-dan-trachtenberg-badlands-prey-2000516609
Denis Villeneuve Responds to Quentin Tarantino Refusing to Watch Dune: ‘I Don’t Care’	Isaiah Colbert	2024-11-08T23:25:27Z	Gizmodo.com	https://gizmodo.com/denis-villeneuve-responds-to-quentin-tarantino-refusing-to-watch-dune-i-dont-care-2000522377
The First Reactions to Nosferatu Call It ‘Pure Evil,’ ‘Erotic,’ and ‘Devilishly Bloody’	Isaiah Colbert	2024-11-08T17:40:33Z	Gizmodo.com	https://gizmodo.com/the-first-reactions-to-nosferatu-call-it-pure-evil-erotic-and-devilishly-bloody-2000522031
Ralph Fiennes Spreads New Info About 28 Years Later	Justin Carter	2024-10-27T16:25:49Z	Gizmodo.com	https://gizmodo.com/28-years-later-ralph-fiennes-role-2000516943
Daft Punk’s Anime Dreamscape Interstella 5555 Is Coming Back to Theaters For One More Time	James Whitbrook	2024-10-30T16:00:17Z	Gizmodo.com	https://gizmodo.com/daft-punk-discovery-interstella-5555-movie-release-2000518344
Rejoice, We’re Already Getting Another Entry in the ‘Ke Huy Quan Kicks Ass’ Genre	Germain Lussier	2024-10-29T22:30:23Z	Gizmodo.com	https://gizmodo.com/ke-huy-quan-action-movie-fairytale-in-new-york-2000518221
Warner Bros. Boss David Zaslav Admits Joker 2 Was ‘Disappointing’	Isaiah Colbert	2024-11-07T18:00:18Z	Gizmodo.com	https://gizmodo.com/warner-bros-boss-david-zaslav-admits-joker-2-was-disappointing-2000521581
2 New Predator Movies Are Coming in 2025	Germain Lussier	2024-10-24T19:40:29Z	Gizmodo.com	https://gizmodo.com/2-new-predator-movies-are-coming-in-2025-2000516237
Netflix’s New Plan Is to Make Movies That Suck Less	Lucas Ropek	2024-10-21T20:35:25Z	Gizmodo.com	https://gizmodo.com/netflixs-new-plan-is-to-make-movies-that-suck-less-2000514553
You’ll Be Able to Watch Joker 2 at Home Before Halloween	Germain Lussier	2024-10-22T18:41:36Z	Gizmodo.com	https://gizmodo.com/joker-2-home-release-streaming-dc-batman-2000515193
Disney Has Shifted an Untitled Star Wars Movie Off Its Upcoming Schedule	Cheryl Eddy	2024-11-15T23:00:21Z	Gizmodo.com	https://gizmodo.com/untitled-star-wars-movie-2026-release-delayed-disney-lucasfilm-2000525347
Blade Runner 2049 producer sues Elon Musk for image used in Cybercab launch	Mariella Moon	2024-10-22T12:00:48Z	Yahoo Entertainment	https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0b877ae6-74d4-4a87-a926-ace1decc0ef7
Marvel Reveals Deadpool & Wolverine‘s Disney+ Release Date via Literal Toilet Humor	Isaiah Colbert	2024-10-30T14:00:36Z	Gizmodo.com	https://gizmodo.com/deadpool-and-wolverine-streaming-disney-plus-release-date-marvel-2000518301
The Latest Look at Disney’s Live-Action Stitch Will Fill You With Cute Aggression	Cheryl Eddy	2024-11-08T22:20:17Z	Gizmodo.com	https://gizmodo.com/the-latest-look-at-disneys-live-action-stitch-will-fill-you-with-cute-aggression-2000522234
Denzel Washington Casually Announces He’ll Be in Black Panther 3	Isaiah Colbert	2024-11-12T15:45:09Z	Gizmodo.com	https://gizmodo.com/denzel-washington-marvel-mcu-black-panther-3-ryan-coogler-2000523551
The Blair Witch Project Is Releasing a Version You’ve Never Seen Before	Cheryl Eddy	2024-11-12T00:00:06Z	Gizmodo.com	https://gizmodo.com/blair-witch-project-25th-anniversary-re-release-original-format-2000523297
Funko’s War of the Rohirrim Pops Are Ready for a Sword Day, a Red Day	James Whitbrook	2024-11-06T17:00:32Z	Gizmodo.com	https://gizmodo.com/funko-war-of-the-rohirrim-pops-price-release-date-2000521109
The Wild Robot‘s Creators Reveal the Secret Behind the Film’s Best Scene	Germain Lussier	2024-10-24T21:40:24Z	Gizmodo.com	https://gizmodo.com/the-wild-robots-creators-reveal-the-secret-behind-the-films-best-scene-2000516184
George Lucas Originally Envisioned a Jedi Twist to End The Phantom Menace	Germain Lussier	2024-10-31T22:45:17Z	Gizmodo.com	https://gizmodo.com/star-wars-phantom-menace-original-ending-twist-jedi-obi-wan-2000519264
The Witcher Is Recasting Another Big Character	Gordon Jackson	2024-10-24T13:00:03Z	Gizmodo.com	https://gizmodo.com/netflix-witcher-season-4-vesemir-recast-kim-bodnia-2000515879
Ridley Scott Is Already Preparing the Next Alien Movie	Gordon Jackson	2024-11-04T14:00:55Z	Gizmodo.com	https://gizmodo.com/ridley-scott-new-alien-movie-romulus-2000520090
An Unlikely Alien Species Returns in Star Wars: Skeleton Crew	Gordon Jackson	2024-10-22T13:00:36Z	Gizmodo.com	https://gizmodo.com/an-unlikely-alien-species-returns-in-star-wars-skeleton-crew-2000514855
Transformers One Is Now on Digital and We’ve Got an Exclusive Clip	Germain Lussier	2024-10-22T15:00:13Z	Gizmodo.com	https://gizmodo.com/transformers-one-home-release-date-cybertron-2000514447
Where Do We Think Terrifier‘s Art the Clown Came From?	Germain Lussier	2024-10-29T20:15:31Z	Gizmodo.com	https://gizmodo.com/terrifier-art-the-clown-origin-story-horror-2000518044
Venom: The Last Dance Doesn’t Quite Stick the Landing	Germain Lussier	2024-10-23T19:00:05Z	Gizmodo.com	https://gizmodo.com/venom-3-review-the-last-dance-tom-hardy-marvel-2000515392
Disney Replaces Blade on Release Schedule with New Predator Movie	Germain Lussier	2024-10-22T16:53:20Z	Gizmodo.com	https://gizmodo.com/blade-release-date-cancel-prey-2-predator-2000515095
Mufasa’s Final Trailer Brings the Future Band Together	Justin Carter	2024-11-09T19:25:09Z	Gizmodo.com	https://gizmodo.com/mufasa-final-trailer-d23-brazil-2000522515
Paramount’s Still Figuring Out How to Handle Mission: Impossible 8	Justin Carter	2024-11-02T14:30:42Z	Gizmodo.com	https://gizmodo.com/mission-possiible-8-paramount-rollout-2000519792
Terrifier 3‘s Journey to the Big Screen Was Shockingly Unique	Germain Lussier	2024-10-21T18:45:02Z	Gizmodo.com	https://gizmodo.com/terrifier-3-behind-the-scenes-art-the-clown-2000513440
The M4 MacBook Pro Might Be Hiding a Significant Screen Upgrade	Kyle Barr	2024-11-15T15:02:10Z	Gizmodo.com	https://gizmodo.com/the-m4-macbook-pro-might-be-hiding-a-significant-screen-upgrade-2000524997
Avatar 3’s Gorgeous Concept Art Teases More of Pandora’s Beauty	Justin Carter	2024-11-10T15:30:08Z	Gizmodo.com	https://gizmodo.com/avatar-fire-ash-art-2000522608
'John Wick' producers wanted an alternate ending where the puppy lived	Jason Guerrasio	2024-10-23T21:14:15Z	Business Insider	https://www.businessinsider.com/john-wick-producers-wanted-alternate-ending-puppy-lived-2024-10
Venom: The Last Dance Knows Fans Wanted More Venom and Eddie	Isaiah Colbert	2024-10-24T16:04:27Z	Gizmodo.com	https://gizmodo.com/venom-the-last-dance-knows-fans-wanted-more-venom-and-eddie-2000515973
The Penguin Could Lead to More Batman Villain Shows	Germain Lussier	2024-10-25T18:45:44Z	Gizmodo.com	https://gizmodo.com/the-penguin-could-lead-to-more-batman-villain-shows-2000516650
Mike Flanagan to Adapt Stephen King’s Carrie as an 8-Episode Miniseries	Gordon Jackson	2024-10-21T17:45:48Z	Gizmodo.com	https://gizmodo.com/mike-flanagan-to-adapt-stephen-kings-carrie-as-an-8-episode-miniseries-2000514457
Smile‘s Director Already Has Ideas For Where Smile 3 Could Go	Gordon Jackson	2024-10-31T13:00:00Z	Gizmodo.com	https://gizmodo.com/smile-3-sequel-ideas-parker-finn-2000518568
Nosferatu‘s New Posters Know You Don’t Need to See Him to Be Scary	Isaiah Colbert	2024-10-31T17:50:00Z	Gizmodo.com	https://gizmodo.com/nosferatus-new-posters-know-you-dont-need-to-see-him-to-be-scary-2000518880
The Rey Movie Has Lost Its Writer (Again)	James Whitbrook	2024-10-25T14:00:48Z	Gizmodo.com	https://gizmodo.com/star-wars-rey-movie-delay-steven-knight-lucasfilm-disney-2000516492
Nintendo Sure Is Hoping We’ll See the Live-Action Zelda Movie by the End of This Decade	Germain Lussier	2024-11-06T18:00:44Z	Gizmodo.com	https://gizmodo.com/legend-of-zelda-movie-release-date-nintendo-link-wes-ball-2000521171
